"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.052582167E0,5.104385376E-2,1.567240906E-1,9.799072723E0
3.062623167E0,3.847000122E-2,1.547781372E-1,9.809251556E0
3.072664167E0,6.107299805E-2,1.513352966E-1,9.798174591E0
3.082705167E0,5.598358154E-2,1.435514832E-1,9.805359650E0
3.092746167E0,5.089416504E-2,1.432521057E-1,9.806557159E0
3.102787167E0,4.370910645E-2,1.571731567E-1,9.804611206E0
3.112828167E0,5.897735596E-2,1.414558411E-1,9.803862762E0
3.122869167E0,5.792953491E-2,1.574725342E-1,9.808503113E0
3.132910167E0,4.819976807E-2,1.544787598E-1,9.814790039E0
3.142951167E0,5.867797852E-2,1.414558411E-1,9.805359650E0
3.152992167E0,5.209167480E-2,1.471440125E-1,9.806108093E0
3.163033167E0,5.284011841E-2,1.532812500E-1,9.789342957E0
3.173074167E0,4.984634399E-2,1.555265808E-1,9.809550934E0
3.183115167E0,4.520599365E-2,1.540296936E-1,9.810449066E0
3.193156167E0,4.400848389E-2,1.514849854E-1,9.797725525E0
3.203197167E0,4.520599365E-2,1.398092651E-1,9.809101868E0
3.213238167E0,5.987548828E-2,1.450483704E-1,9.796827393E0
3.223279167E0,5.164260864E-2,1.498384094E-1,9.798324280E0
3.233320167E0,5.523513794E-2,1.474433899E-1,9.806407471E0
3.243361167E0,4.580474854E-2,1.457968140E-1,9.799970856E0
3.253402167E0,5.089416504E-2,1.484912109E-1,9.801168365E0
3.263442750E0,5.149291992E-2,1.537303162E-1,9.817334747E0
3.273484750E0,5.927673340E-2,1.438508606E-1,9.802814941E0
3.283525750E0,5.388793945E-2,1.546284485E-1,9.802665253E0
3.293566750E0,5.089416504E-2,1.576222229E-1,9.812245331E0
3.303607750E0,5.613327026E-2,1.508862305E-1,9.799671478E0
3.313648750E0,4.595443726E-2,1.434017944E-1,9.802365875E0
3.323689750E0,5.523513794E-2,1.520837402E-1,9.803862762E0
3.333730750E0,6.032455444E-2,1.543290710E-1,9.808652802E0
3.343771750E0,6.122268677E-2,1.606159973E-1,9.801168365E0
3.353812750E0,5.463638306E-2,1.580712891E-1,9.803114319E0
3.363853750E0,5.478607178E-2,1.493893433E-1,9.807305603E0
3.373894750E0,5.418731689E-2,1.538800049E-1,9.811496887E0
3.383935750E0,5.209167480E-2,1.450483704E-1,9.783056030E0
3.393976750E0,5.134323120E-2,1.531315613E-1,9.806108093E0
3.404017750E0,4.460723877E-2,1.517843628E-1,9.798623657E0
3.414058750E0,6.376739502E-2,1.426533508E-1,9.808802490E0
3.424099750E0,5.852828979E-2,1.475930786E-1,9.793534241E0
3.434140750E0,6.227050781E-2,1.478924561E-1,9.799372101E0
3.444181750E0,6.511459351E-2,1.535806274E-1,9.813143463E0
3.454222750E0,6.361770630E-2,1.514849854E-1,9.805359650E0
3.464263750E0,5.074447632E-2,1.477427673E-1,9.799821167E0
3.474304750E0,5.104385376E-2,1.457968140E-1,9.814191284E0
3.484345750E0,5.089416504E-2,1.457968140E-1,9.795330505E0
3.494386750E0,6.197113037E-2,1.426533508E-1,9.800120544E0
3.504427750E0,4.640350342E-2,1.374142456E-1,9.800120544E0
3.514468750E0,5.014572144E-2,1.567240906E-1,9.809850311E0
3.524509750E0,5.987548828E-2,1.507365417E-1,9.799521790E0
3.534551750E0,6.646179199E-2,1.490899658E-1,9.808503113E0
3.544592750E0,4.715194702E-2,1.492396545E-1,9.808802490E0
3.554633750E0,4.640350342E-2,1.588197327E-1,9.814041595E0
3.564674750E0,5.613327026E-2,1.550775146E-1,9.811796265E0
3.574715750E0,6.062393188E-2,1.577719116E-1,9.799521790E0
3.584756750E0,4.610412598E-2,1.523831177E-1,9.807754669E0
3.594797750E0,6.750961304E-2,1.516346741E-1,9.808054047E0
3.604838750E0,5.553451538E-2,1.453477478E-1,9.797426147E0
3.614879750E0,5.463638306E-2,1.516346741E-1,9.802964630E0
3.624920750E0,6.706054688E-2,1.450483704E-1,9.798773346E0
3.634961750E0,7.170089722E-2,1.580712891E-1,9.795629883E0
3.645002750E0,5.149291992E-2,1.501377869E-1,9.785900116E0
3.655043750E0,4.475692749E-2,1.553768921E-1,9.808952179E0
3.665084750E0,3.906875610E-2,1.537303162E-1,9.811047821E0
3.675125750E0,4.849914551E-2,1.477427673E-1,9.808054047E0
3.685166750E0,4.161346436E-2,1.573228455E-1,9.803713074E0
3.695207750E0,4.969665527E-2,1.419049072E-1,9.796677704E0
3.705248750E0,5.298980713E-2,1.508862305E-1,9.799222412E0
3.715289750E0,4.834945679E-2,1.558259583E-1,9.823621674E0
3.725330750E0,5.014572144E-2,1.525328064E-1,9.807455292E0
3.735371750E0,4.790039063E-2,1.532812500E-1,9.806407471E0
3.745412750E0,4.281097412E-2,1.437011719E-1,9.807006226E0
3.755453750E0,5.269042969E-2,1.347198486E-1,9.797575836E0
3.765494750E0,5.792953491E-2,1.564247131E-1,9.798623657E0
3.775535750E0,4.834945679E-2,1.442999268E-1,9.807754669E0
3.785576750E0,4.864883423E-2,1.438508606E-1,9.816586304E0
3.795617750E0,4.700225830E-2,1.528321838E-1,9.818831635E0
3.805659750E0,4.296066284E-2,1.495390320E-1,9.804910583E0
3.815700750E0,6.182144165E-2,1.380130005E-1,9.801916809E0
3.825741750E0,4.819976807E-2,1.564247131E-1,9.798773346E0
3.835782750E0,5.433700562E-2,1.574725342E-1,9.802964630E0
3.845823750E0,4.296066284E-2,1.502874756E-1,9.807006226E0
3.855864750E0,5.089416504E-2,1.450483704E-1,9.793983307E0
3.865905750E0,5.688171387E-2,1.469943237E-1,9.813742218E0
3.875946750E0,5.658233643E-2,1.505868530E-1,9.810299377E0
3.885987750E0,4.999603271E-2,1.519340515E-1,9.805958405E0
3.896028750E0,3.951782227E-2,1.492396545E-1,9.806257782E0
3.906069750E0,5.119354248E-2,1.498384094E-1,9.802665253E0
3.916110750E0,5.194198608E-2,1.526824951E-1,9.798473969E0
3.926151750E0,5.074447632E-2,1.607656860E-1,9.810449066E0
3.936192750E0,5.927673340E-2,1.468446350E-1,9.815388794E0
3.946233750E0,5.014572144E-2,1.493893433E-1,9.808952179E0
3.956274750E0,5.628295898E-2,1.540296936E-1,9.804461517E0
3.966315750E0,5.044509888E-2,1.553768921E-1,9.816735992E0
3.976356750E0,4.146377563E-2,1.579216003E-1,9.804461517E0
3.986397750E0,3.981719971E-2,1.469943237E-1,9.811646576E0
3.996438750E0,5.837860107E-2,1.490899658E-1,9.806557159E0
4.006479750E0,4.924758911E-2,1.468446350E-1,9.806108093E0
4.016520750E0,5.343887329E-2,1.366658020E-1,9.797575836E0
4.026561750E0,6.047424316E-2,1.496887207E-1,9.794731750E0
