"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.724997388E2,5.707092285E-1,4.158822250E1,-2.850891113E0
6.725097818E2,4.795837402E-1,4.159865189E1,-2.788436890E0
6.725198248E2,4.439239502E-1,4.163389969E1,-2.666641235E0
6.725298678E2,3.976440430E-1,4.155196762E1,-2.557235718E0
6.725399108E2,4.718780518E-1,4.149869156E1,-2.739303589E0
6.725499538E2,5.823364258E-1,4.165114975E1,-2.640960693E0
6.725599968E2,5.703125000E-1,4.171790695E1,-2.670394897E0
6.725700398E2,6.643218994E-1,4.174986649E1,-2.362609863E0
6.725800828E2,5.294799805E-1,4.172898483E1,-2.479782104E0
6.725901258E2,5.155639648E-1,4.148258591E1,-2.445281982E0
6.726001688E2,3.760528564E-1,4.153984451E1,-2.460922241E0
6.726102118E2,4.802398682E-1,4.166401291E1,-2.543197632E0
6.726202548E2,5.197448730E-1,4.166019058E1,-2.671951294E0
6.726302978E2,4.654235840E-1,4.158683395E1,-2.458694458E0
6.726403408E2,6.908569336E-1,4.166246414E1,-2.437835693E0
6.726503838E2,4.719085693E-1,4.156066513E1,-2.730010986E0
6.726604268E2,5.364074707E-1,4.156106186E1,-2.471496582E0
6.726704698E2,4.620819092E-1,4.149181747E1,-2.660171509E0
6.726805128E2,3.061065674E-1,4.144883347E1,-2.647247314E0
6.726905558E2,4.976654053E-1,4.155025101E1,-2.557388306E0
6.727005998E2,3.103179932E-1,4.141186142E1,-2.365737915E0
6.727106431E2,6.055450439E-1,4.163192368E1,-2.563827515E0
6.727206861E2,5.637664795E-1,4.145366287E1,-2.590789795E0
6.727307291E2,2.703399658E-1,4.147297287E1,-2.567504883E0
6.727407721E2,2.854766846E-1,4.135398483E1,-2.701538086E0
6.727508151E2,2.540130615E-1,4.139520645E1,-2.822708130E0
6.727608581E2,3.805694580E-1,4.147742844E1,-2.746093750E0
6.727709011E2,4.247741699E-1,4.154327011E1,-2.734939575E0
6.727809441E2,3.651580811E-1,4.147072983E1,-2.677581787E0
6.727909871E2,5.566711426E-1,4.150310898E1,-2.513931274E0
6.728010301E2,3.735046387E-1,4.154133987E1,-2.723007202E0
6.728110731E2,4.015045166E-1,4.159178543E1,-2.522277832E0
6.728211161E2,4.124145508E-1,4.147748184E1,-2.677474976E0
6.728311591E2,3.902435303E-1,4.164824295E1,-2.626190186E0
6.728412021E2,4.130554199E-1,4.163831711E1,-2.520614624E0
6.728512451E2,3.119201660E-1,4.163001633E1,-2.559524536E0
6.728612881E2,3.964385986E-1,4.161147690E1,-2.480285645E0
6.728713311E2,5.142059326E-1,4.158493423E1,-2.272354126E0
6.728813741E2,4.095611572E-1,4.140822983E1,-2.456771851E0
6.728914171E2,4.341430664E-1,4.137542343E1,-2.454071045E0
6.729014601E2,2.896118164E-1,4.148186111E1,-2.573440552E0
6.729115031E2,3.648834229E-1,4.154166031E1,-2.505722046E0
6.729215461E2,3.180694580E-1,4.152082443E1,-2.472442627E0
6.729315891E2,3.668823242E-1,4.151974869E1,-2.738861084E0
6.729416321E2,3.820953369E-1,4.152197647E1,-2.633361816E0
6.729516751E2,3.504943848E-1,4.153112411E1,-2.748825073E0
6.729617181E2,3.352661133E-1,4.137148666E1,-2.704040527E0
6.729717611E2,3.861389160E-1,4.151797104E1,-2.680130005E0
6.729818041E2,4.018096924E-1,4.156072617E1,-2.596282959E0
6.729918471E2,3.974761963E-1,4.148274612E1,-2.503738403E0
6.730018901E2,1.725616455E-1,4.133462906E1,-2.431732178E0
6.730119331E2,3.706817627E-1,4.130372238E1,-2.526031494E0
6.730219761E2,2.443542480E-1,4.131715775E1,-2.429000854E0
6.730320191E2,3.183898926E-1,4.146013260E1,-2.472900391E0
6.730420621E2,3.509063721E-1,4.144695663E1,-2.390808105E0
6.730521051E2,1.938934326E-1,4.145467758E1,-2.304718018E0
6.730621481E2,3.945770264E-1,4.145061111E1,-2.246414185E0
6.730721911E2,2.714843750E-1,4.132253647E1,-2.571228027E0
6.730822341E2,1.946868896E-1,4.143227768E1,-2.469085693E0
6.730922771E2,3.688354492E-1,4.154039383E1,-2.310699463E0
6.731023201E2,3.471374512E-1,4.153781509E1,-2.584121704E0
6.731123631E2,3.959350586E-1,4.158720779E1,-2.650070190E0
6.731224061E2,2.429962158E-1,4.145135117E1,-2.637084961E0
6.731324491E2,3.173370361E-1,4.138814926E1,-2.657119751E0
6.731424921E2,3.283386230E-1,4.152461624E1,-2.496002197E0
6.731525351E2,2.092285156E-1,4.146549606E1,-2.697784424E0
6.731625781E2,2.935028076E-1,4.153248215E1,-2.433090210E0
6.731726211E2,2.997741699E-1,4.141858292E1,-2.576675415E0
6.731826641E2,4.898376465E-1,4.158409500E1,-2.642471313E0
6.731927081E2,4.588317871E-1,4.148755264E1,-2.539398193E0
6.732027511E2,3.628387451E-1,4.160554123E1,-2.665054321E0
6.732127941E2,3.209381104E-1,4.154521561E1,-2.515441895E0
6.732228371E2,2.477264404E-1,4.143171310E1,-2.662200928E0
